PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
294,0,3,0,24.0,0,0,8.85,2
504,0,3,0,37.0,0,0,9.5875,2
310,1,1,0,30.0,0,0,56.9292,0
823,0,1,1,38.0,0,0,0.0,2
513,1,1,1,36.0,0,0,26.2875,2
501,0,3,1,17.0,0,0,8.6625,2
333,0,1,1,38.0,0,1,153.4625,2
273,1,2,0,41.0,0,1,19.5,2
759,0,3,1,34.0,0,0,8.05,2
300,1,1,0,50.0,0,1,247.5208,0
725,1,1,1,27.0,1,0,53.1,2
233,0,2,1,59.0,0,0,13.5,2
653,0,3,1,21.0,0,0,8.4333,2
727,1,2,0,30.0,3,0,21.0,2
292,1,1,0,19.0,1,0,91.0792,0
120,0,3,0,2.0,4,2,31.275,2
157,1,3,0,16.0,0,0,7.7333,1
758,0,2,1,18.0,0,0,11.5,2
812,0,3,1,39.0,0,0,24.15,2
11,1,3,0,4.0,1,1,16.7,2
143,1,3,0,24.0,1,0,15.85,2
785,0,3,1,25.0,0,0,7.05,2
353,0,3,1,15.0,1,1,7.2292,0
378,0,1,1,27.0,0,2,211.5,0
407,0,3,1,51.0,0,0,7.75,2
820,0,3,1,10.0,3,2,27.9,2
125,0,1,1,54.0,0,1,77.2875,2
517,1,2,0,34.0,0,0,10.5,2
529,0,3,1,39.0,0,0,7.925,2
425,0,3,1,18.0,1,1,20.2125,2
24,1,1,1,28.0,0,0,35.5,2
82,1,3,1,29.0,0,0,9.5,2
488,0,1,1,58.0,0,0,29.7,0
328,1,2,0,36.0,0,0,13.0,2
511,1,3,1,29.0,0,0,7.75,1
340,0,1,1,45.0,0,0,35.5,2
575,0,3,1,16.0,0,0,8.05,2
557,1,1,0,48.0,1,0,39.6,0
227,1,2,1,19.0,0,0,10.5,2
771,0,3,1,24.0,0,0,9.5,2
883,0,3,0,22.0,0,0,10.5167,2
617,0,3,1,34.0,1,1,14.4,2
255,0,3,0,41.0,0,2,20.2125,2
5,0,3,1,35.0,0,0,8.05,2
489,0,3,1,30.0,0,0,8.05,2
21,0,2,1,35.0,0,0,26.0,2
626,0,1,1,61.0,0,0,32.3208,2
298,0,1,0,2.0,1,2,151.55,2
627,0,2,1,57.0,0,0,12.35,1
418,1,2,0,18.0,0,2,13.0,2
797,1,1,0,49.0,0,0,25.9292,2
219,1,1,0,32.0,0,0,76.2917,0
566,0,3,1,24.0,2,0,24.15,2
678,1,3,0,18.0,0,0,9.8417,2
34,0,2,1,66.0,0,0,10.5,2
884,0,2,1,28.0,0,0,10.5,2
363,0,3,0,45.0,0,1,14.4542,0
689,0,3,1,18.0,0,0,7.7958,2
144,0,3,1,19.0,0,0,6.75,1
427,1,2,0,28.0,1,0,26.0,2
610,1,1,0,40.0,0,0,153.4625,2
737,0,3,0,48.0,1,3,34.375,2
198,0,3,1,42.0,0,1,8.4042,2
404,0,3,1,28.0,1,0,15.85,2
424,0,3,0,28.0,1,1,14.4,2
639,0,3,0,41.0,0,5,39.6875,2
658,0,3,0,32.0,1,1,15.5,1
179,0,2,1,30.0,0,0,13.0,2
841,0,3,1,20.0,0,0,7.925,2
636,1,2,0,28.0,0,0,13.0,2
35,0,1,1,28.0,1,0,82.1708,0
395,1,3,0,24.0,0,2,16.7,2
521,1,1,0,30.0,0,0,93.5,2
524,1,1,0,44.0,0,1,57.9792,0
208,1,3,1,26.0,0,0,18.7875,0
570,1,3,1,32.0,0,0,7.8542,2
540,1,1,0,22.0,0,2,49.5,0
433,1,2,0,42.0,1,0,26.0,2
461,1,1,1,48.0,0,0,26.55,2
804,1,3,1,0.42,0,1,8.5167,0
205,1,3,1,18.0,0,0,8.05,2
68,0,3,1,19.0,0,0,8.1583,2
873,0,1,1,33.0,0,0,5.0,2
490,1,3,1,9.0,1,1,15.9,2
387,0,3,1,1.0,5,2,46.9,2
100,0,2,1,34.0,1,0,26.0,2
238,1,2,0,8.0,0,2,26.25,2
184,1,2,1,1.0,2,1,39.0,2
2,1,1,0,38.0,1,0,71.2833,0
470,1,3,0,0.75,2,1,19.2583,0
63,0,1,1,45.0,1,0,83.475,2
392,1,3,1,21.0,0,0,7.7958,2
753,0,3,1,33.0,0,0,9.5,2
766,1,1,0,51.0,1,0,77.9583,2
3,1,3,0,26.0,0,0,7.925,2
